155	MA2-59B	59b Cam holder	ProductionLine	MA2	6	0
156	MA2-59B-MIN	Machining In	Terminal	MA2-59B	1	0
157	MA2-59B-MIN-P1	P - 052	Printer	MA2-59B-MIN	1	0
158	MA2-59B-AOUT1	METTs Assembly Out	Terminal	MA2-59B	2	0
159	MA2-59B-AOUT1-P1	P - 053	Printer	MA2-59B-AOUT1	1	0
160	MA2-59B-AOUT2	Assembly Out	Terminal	MA2-59B	3	0
161	MA2-59B-AOUT2-P1	P - 054	Printer	MA2-59B-AOUT2	1	0
162	MA2-6FBCHOP	6FB Small Parts	ProductionLine	MA2	10	0
163	MA2-6FBCHOP-MIN	Machining In	Terminal	MA2-6FBCHOP	1	0
164	MA2-6FBCHOP-MIN-P1	P - 055	Printer	MA2-6FBCHOP-MIN	1	0
165	MA2-6FBCHOP-AOUT	Assembly Out Cam Holders	Terminal	MA2-6FBCHOP	2	0
166	MA2-6FBCHOP-AOUT-P1	P - 056	Printer	MA2-6FBCHOP-AOUT	1	0
167	MA2-64AOP	64A Oil Pan	ProductionLine	MA2	7	0
168	MA2-64AOP-MIN	Machining In	Terminal	MA2-64AOP	1	0
169	MA2-64AOP-MIN-P1	P - 057	Printer	MA2-64AOP-MIN	1	0
170	MA2-64AOP-AOUT	Assembly Out	Terminal	MA2-64AOP	2	0
171	MA2-64AOP-AOUT-P1	P - 058	Printer	MA2-64AOP-AOUT	1	0
172	MA2-6MACH	6MA Cam Holder Line 1	ProductionLine	MA2	8	0
173	MA2-6MACH-MIN	Machining In	Terminal	MA2-6MACH	1	0
174	MA2-6MACH-MIN-P1	P - 059	Printer	MA2-6MACH-MIN	1	0
175	MA2-6MACH-AOUT1	METTs Assembly Out A	Terminal	MA2-6MACH	2	0
176	MA2-6MACH-AOUT1-P1	P - 060	Printer	MA2-6MACH-AOUT1	1	0
177	MA2-6MACH-AOUT2	METTs Assembly Out B	Terminal	MA2-6MACH	3	0
178	MA2-6MACH-AOUT2-P1	P - 061	Printer	MA2-6MACH-AOUT2	1	0
179	MA2-6MACH-AOUT3	Assembly Out	Terminal	MA2-6MACH	4	0
180	MA2-6MACH-AOUT3-P1	P - 062	Printer	MA2-6MACH-AOUT3	1	0
181	WHSE	Warehouse	SupportArea	MPP-MAD	9	0
182	SHIPIN	Shipping IN	SupportArea	MPP-MAD	10	0
183	SHIPOUT	Shipping OUT	SupportArea	MPP-MAD	11	0
184	FALLBACK-TERMINAL	Fallback Terminal	Terminal	MPP-MAD	12	0
185	DC1-M01-T1	Terminal	Terminal	DC1-M01	1	0
186	DC1-M01-T1-P1	P - 001D	Printer	DC1-M01-T1	1	0
187	TRIM1-P01-T1	Terminal	Terminal	TRIM1-P01	1	0
188	TRIM1-P01-T1-P1	P - 005D	Printer	TRIM1-P01-T1	1	0
189		add 10 printers	Printer	MA2-59B-AOUT1	2	0
190	6ma-CH-L2	6MA Cam Holder Line 2	ProductionLine	MA2	9	0
191	AO-OP	Assembly Out Oil Passage	ProductionLine	MA2-6FBCHOP	3	0
192	RS - MO	Rocker Shaft 1-4 Machining Out	ProductionLine	MA2-RPYCAM2	5	1
193	AO 5PA	Assembly Out	ProductionLine	MA2-5PA	4	1
194	5PA - AO	Assembly Out	Terminal	MA2-5PA	4	0
195	66B-TC	66B Thermal Case	ProductionLine	MA1	7	0
196	66B - Ins	Terminal	InspectionStation	66B-TC	1	0
197	RS-MO	Rocker Shaft 1-4 Machining Out	Terminal	MA2-RPYCAM2	4	0
