AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0066,DieMold,W,Waiting for Approval,"5BA R/S #5 die ""J""",5BA,RockerShaft,J,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,229282,214480,150000,YES,,Accu-Die,2021-09-08,asset+report,
DM0067,DieMold,W,Waiting for Approval,RPY Cam Holder Ex #1-4 die G,RPY,CamHolder,G,Honda,4,"125-090,126-090,127-090,128-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam,315020,302288,200000,YES,"RPY Ex. #1-4 die ""G""",Accu-Die,2021-09-08,asset+report,
DM0068,DieMold,W,Waiting for Approval,"RPY Compressor Bracket die ""F""",RPY,CompressorBracket,F,Honda,1,643-090,643-090 RPY COMPRESSOR BRACKET MPP,197056,187901,0,YES,,Accu-Die,2021-09-22,asset+report,
DM0069,DieMold,C,Current,"6MA Oil Pan die ""B""",6MA,OilPan,B,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),317503,292670,100000,YES,,Metts,2021-10-28,asset+report,
DM0070,DieMold,W,Waiting for Approval,"6MA Oil Pan die ""C""",6MA,OilPan,C,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),90613,79791,0,YES,,Davis Tool,2021-10-28,asset+report,
DM0071,DieMold,W,Waiting for Approval,"59B C/H #1,5 die ""L""",59B,CamHolder,L,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,327066,316657,0,YES,,Accu-Die,2021-10-28,asset+report,
DM0072,DieMold,W,Waiting for Approval,"59B C/H #2,3,4 die ""L""",59B,CamHolder,L,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,334196,323325,0,YES,,Accu-Die,2021-10-28,asset+report,
DM0073,DieMold,W,Waiting for Approval,RPY Cam Holder Ex Lower #1-4 die G,RPY,CamHolder,G,Honda,4,"131-090,132-090,133-090,134-090",131-090 RPY Holder Comp No 1 Exh Cam Lwr; 132-090 RPY Holder Comp No 2 Exh Cam Lwr; 133-090 RPY Holder Comp No 3 Exh Cam Lwr; 134-090 RPY Holder Comp No 4 Exh Cam Lwr,210034,196235,0,YES,"RPY Lower #1-4 die ""G""",Accu-Die,2021-10-28,asset+report,
DM0074,DieMold,W,Waiting for Approval,"59B/5PA Fuel Pump die ""T""",59B/5PA,FuelPump,T,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,279773,267700,200000,YES,,Davis Tool,2021-11-09,asset+report,combo die - 2 report entries summed
DM0075,DieMold,W,Waiting for Approval,"59B/5PA Fuel Pump die ""U""",59B/5PA,FuelPump,U,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,203887,194981,200000,,,Davis Tool,2021-11-09,asset+report,combo die - 2 report entries summed
DM0076,DieMold,W,Waiting for Approval,"6MA C/H #1,5 die ""B""",6MA,CamHolder,B,Honda Anna Eng Plnt,4,"652-090,656-090,657-090,661-090",652-090 6MAA HOLDCOMP NO1 INTAKE (DC); 656-090 6MAA HOLDCOMP NO5 INTAKE (DC); 657-090 6MAA HOLDCOMP NO1 EXHAUST (DC); 661-090 6MAA HOLDCOMP NO5 EXHAUST (DC),202325,195141,0,YES,,Accu-Die,2022-01-19,asset+report,
