AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0075,"59B/5PA Fuel Pump die ""U""",W,b,152-090,59B Base Comp Fuel Pump
DM0076,"6MA C/H #1,5 die ""B""",W,a,652-090,6MAA HOLDCOMP NO1 INTAKE (DC)
DM0076,"6MA C/H #1,5 die ""B""",W,b,656-090,6MAA HOLDCOMP NO5 INTAKE (DC)
DM0076,"6MA C/H #1,5 die ""B""",W,c,657-090,6MAA HOLDCOMP NO1 EXHAUST (DC)
DM0076,"6MA C/H #1,5 die ""B""",W,d,661-090,6MAA HOLDCOMP NO5 EXHAUST (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,a,653-090,6MAA HOLDCOMP NO2 INTAKE (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,b,654-090,6MAA HOLDCOMP NO3 INTAKE (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,c,655-090,6MAA HOLDCOMP NO4 INTAKE (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,d,658-090,6MAA HOLDCOMP NO2 EXHAUST (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,e,659-090,6MAA HOLDCOMP NO3 EXHAUST (DC)
DM0077,"6MA C/H #2,3,4 die ""B""",W,f,660-090,6MAA HOLDCOMP NO4 EXHAUST (DC)
DM0078,"6FBA Oil Pan die ""B""",W,a,646-090,6FB Oil Pan
DM0079,"5BA R/S #5 die ""K""",W,a,140-090,5BAA Holder Comp #5 R/S
DM0080,"6NA Fuel Pump die ""B""",W,a,637-090,6NA FUEL PUMP
DM0081,"5GO R/S 1,2,3 Die L",W,a,578-090,5GO R/S #1    DC
DM0081,"5GO R/S 1,2,3 Die L",W,b,579-090,5GO R/S #2    DC
DM0081,"5GO R/S 1,2,3 Die L",W,c,580-090,5GO R/S #3    DC
DM0082,"64a oil pan die ""D""",W,a,648-090,64A Oil Pan
DM0083,"64A oil pan die ""E'",W,a,648-090,64A Oil Pan
DM0084,6MDW Intake Manifold Plate Die A,W,a,674-090,6MD Intake Manifold
DM0085,5BS Rocker Shaft # L,W,a,140-090,5BAA Holder Comp #5 R/S
DM0086,5BA Rocker Shaft #M,W,a,140-090,5BAA Holder Comp #5 R/S
DM0089,RPY Rocker Shaft #1 die J,W,a,135-090,RPY Holder Comp No 1 Rkr Shaft
DM0090,"RPY Rocker Shaft #2,3,4 die J",W,a,136-090,RPY Holder Comp No 2 Rkr Shaft
DM0090,"RPY Rocker Shaft #2,3,4 die J",W,b,137-090,RPY Holder Comp No 3 Rkr Shaft
DM0090,"RPY Rocker Shaft #2,3,4 die J",W,c,138-090,RPY Holder Comp No 4 Rkr Shaft
DM0091,59B/5PA Fuel Pump V,W,a,143-090,5PA Fuel Pump
DM0091,59B/5PA Fuel Pump V,W,b,152-090,59B Base Comp Fuel Pump
DM0093,6Na fuel pump B,W,a,637-090,6NA FUEL PUMP
