Customer,StatusCode,Status,PartCode6,ModelIdentifier,PartDescription,Die,TotalShots,GoodShots,ShotLifePlanned
Honda Anna Eng Plnt,C,Current,586,5A2,5A2 HOLDER COMP NO 4 IN CAM DC,G,256897,245895,200000
Honda Anna Eng Plnt,C,Current,591,5A2,5A2 HOLDER COMP NO 5 EX CAM DC,E,114394,107324,200000
Honda Anna Eng Plnt,C,Current,587,5A2,5A2 HOLDER COMP NO 5 IN CAM DC,G,256882,245895,200000
Honda Anna Eng Plnt,C,Current,592,5A2,5A2 HOLDER COMP NO 6 EX CAM DC,C,19663,18462,200000
Honda Anna Eng Plnt,C,Current,593,5A2,5A2 R/S #1 DC,R,108080,104813,150000
Honda Anna Eng Plnt,B,Backup,593,5A2,5A2 R/S #1 DC,S,173744,165990,150000
Honda Anna Eng Plnt,B,Backup,594,5A2,5A2 R/S #2 DC,I,207472,197516,150000
Honda Anna Eng Plnt,C,Current,594,5A2,5A2 R/S #2 DC,J,148696,138591,150000
Honda Anna Eng Plnt,B,Backup,595,5A2,5A2 R/S #3 DC,I,164402,157183,150000
Honda Anna Eng Plnt,C,Current,595,5A2,5A2 R/S #3 DC,J,138824,129216,150000
Honda Anna Eng Plnt,B,Backup,596,5A2,5A2 R/S #4 DC,I,141883,134751,150000
Honda Anna Eng Plnt,C,Current,596,5A2,5A2 R/S #4 DC,J,158284,149521,150000
Honda Anna Eng Plnt,B,Backup,597,5A2,5A2 R/S #5 DC,Q,254943,231133,150000
Honda Anna Eng Plnt,C,Current,597,5A2,5A2 R/S #5 DC,R,91249,84357,150000
Honda Anna Eng Plnt,B,Backup,578,5GO,5GO R/S #1 DC,I,198469,182545,150000
Honda Anna Eng Plnt,C,Current,578,5GO,5GO R/S #1 DC,J,306485,283801,150000
Honda Anna Eng Plnt,W,Waiting for Approval,578,5GO,5GO R/S #1 DC,K,216470,201446,0
Honda Anna Eng Plnt,W,Waiting for Approval,578,5GO,5GO R/S #1 DC,L,264497,255213,0
Honda Anna Eng Plnt,W,Waiting for Approval,578,5GO,5GO R/S #1 DC,M,110,79,0
Honda Anna Eng Plnt,B,Backup,579,5GO,5GO R/S #2 DC,I,198002,182444,150000
Honda Anna Eng Plnt,C,Current,579,5GO,5GO R/S #2 DC,J,306637,283902,150000
Honda Anna Eng Plnt,W,Waiting for Approval,579,5GO,5GO R/S #2 DC,K,216672,201627,0
Honda Anna Eng Plnt,W,Waiting for Approval,579,5GO,5GO R/S #2 DC,L,264497,255213,0
Honda Anna Eng Plnt,W,Waiting for Approval,579,5GO,5GO R/S #2 DC,M,110,79,0
Honda Anna Eng Plnt,B,Backup,580,5GO,5GO R/S #3 DC,I,198002,182444,150000
Honda Anna Eng Plnt,C,Current,580,5GO,5GO R/S #3 DC,J,306637,283905,150000
Honda Anna Eng Plnt,W,Waiting for Approval,580,5GO,5GO R/S #3 DC,K,216467,201447,0
Honda Anna Eng Plnt,W,Waiting for Approval,580,5GO,5GO R/S #3 DC,L,264497,255213,0
Honda Anna Eng Plnt,W,Waiting for Approval,580,5GO,5GO R/S #3 DC,M,110,79,0
Honda Anna Eng Plnt,W,Waiting for Approval,686,66V,66V Fuel Pump,A,7028,6545,0
Honda Anna Eng Plnt,C,Current,569,6AT,6AT (RT4) Cooler RTN,7A/7B,118911,113412,175000
Honda Anna Eng Plnt,C,Current,566,6AT,6AT (RV2) CAP A L SIDE,6A/6B,144031,137777,175000
Honda Anna Eng Plnt,C,Current,644,6FB,"6FB Holder Comp, No 1 Cam R",A & B,278147,266640,100000
Honda Anna Eng Plnt,W,Waiting for Approval,644,6FB,"6FB Holder Comp, No 1 Cam R",B,80103,75963,0
Honda Anna Eng Plnt,W,Waiting for Approval,644,6FB,"6FB Holder Comp, No 1 Cam R",C,16759,15546,0
Honda Anna Eng Plnt,C,Current,645,6FB,"6FB Holder Comp, Oil Pass FRDC",A,99126,92760,100000
Honda Anna Eng Plnt,B,Backup,664,6MA,6MA Oil Pan (69F Finished),A,261059,240436,100000
Honda Anna Eng Plnt,C,Current,664,6MA,6MA Oil Pan (69F Finished),B,317503,292670,100000
Honda Anna Eng Plnt,W,Waiting for Approval,664,6MA,6MA Oil Pan (69F Finished),C,90613,79791,0
Honda Anna Eng Plnt,W,Waiting for Approval,664,6MA,6MA Oil Pan (69F Finished),D,353157,319330,0
Honda Anna Eng Plnt,W,Waiting for Approval,664,6MA,6MA Oil Pan (69F Finished),E,190333,175715,0
Honda Anna Eng Plnt,W,Waiting for Approval,664,6MA,6MA Oil Pan (69F Finished),F,643,335,0
Honda Anna Eng Plnt,W,Waiting for Approval,664,6MA,6MA Oil Pan (69F Finished),G,249,140,0
Honda Anna Eng Plnt,C,Current,657,6MAA,6MAA HOLDCOMP NO1 EXHAUST (DC),A,201390,195508,100000
Honda Anna Eng Plnt,W,Waiting for Approval,657,6MAA,6MAA HOLDCOMP NO1 EXHAUST (DC),B,202325,195141,0
Honda Anna Eng Plnt,W,Waiting for Approval,657,6MAA,6MAA HOLDCOMP NO1 EXHAUST (DC),C,226673,216975,0
Honda Anna Eng Plnt,W,Waiting for Approval,657,6MAA,6MAA HOLDCOMP NO1 EXHAUST (DC),D,145098,137762,0
