Id,BomID,BomForMaterial,ParentCompId,ComponentMaterialId,ComponentMaterial,ComponentClass,Quantity,UnitOfMeasure
465,164,1223A-6B2- A000,NULL,117,12246-RPY -G000,RPY Components,1.000000,NULL
466,164,1223A-6B2- A000,NULL,118,12261-RPY -G000,RPY Components,1.000000,NULL
467,164,1223A-6B2- A000,NULL,119,12262-RPY -G000,RPY Components,1.000000,NULL
468,164,1223A-6B2- A000,NULL,120,12263-RPY -G000,RPY Components,1.000000,NULL
469,164,1223A-6B2- A000,NULL,121,12264-RPY -G000,RPY Components,1.000000,NULL
471,164,1223A-6B2- A000,NULL,123,12271-RPY -G000,RPY Components,1.000000,NULL
472,164,1223A-6B2- A000,NULL,124,12272-RPY -G000,RPY Components,1.000000,NULL
473,164,1223A-6B2- A000,NULL,125,12273-RPY -G000,RPY Components,1.000000,NULL
474,164,1223A-6B2- A000,NULL,126,12274-RPY -G000,RPY Components,1.000000,NULL
475,164,1223A-6B2- A000,NULL,92,90701-5A2-A000,5A2 Components,28.000000,NULL
478,164,1223A-6B2- A000,NULL,248,12265-6B2 -A000,RPY Components,1.000000,NULL
486,164,1223A-6B2- A000,NULL,136,96211-09000,RPY Components,1.000000,NULL
477,165,12265-6B2 -A000,NULL,248,12265-6B2 -A000,RPY Components,1.000000,NULL
479,166,19410-6A0 -A000,NULL,249,19410-6A0,Offsite Components,1.000000,NULL
480,167,19321-6B2 A010,NULL,251,19321-6B2,Offsite Components,1.000000,NULL
481,168,19321-6B2 -A520,NULL,253,19321-6B2 A510 ,Offsite Components,1.000000,NULL
482,169,19320-6A0 -A010,NULL,257,19320-6A0 A010,Offsite Components,1.000000,NULL
483,170,19320-6A0 -A510,NULL,256,19320-6A0 A510,Offsite Components,1.000000
484,171,12230-P8A -A000,NULL,259,12231-P8A RAW,Offsite Components,1.000000,NULL
485,171,12230-P8A -A000,NULL,260,91301-P8A-A000,Offsite Components,1.000000,NULL
487,172,12235-R1A -A000,NULL,266,12235-R1A,Offsite Components,1.000000,NULL
488,173,12232-R1A -A000,NULL,265,12232-R1A,Offsite Components,1.000000,NULL
489,174,12231-R1A -A000,NULL,264,12231-R1A ,Offsite Components,1.000000,NULL
490,175,48731-5YP -0000,NULL,267,48731-5YP,Offsite Components,1.000000,NULL
491,176,22790-5YK -0000,NULL,270,22790-5YK ,Offsite Components,1.000000,NULL
492,176,22790-5YK -0000,NULL,201,22792-5MX-A000,Offsite Components,1.000000,NULL
493,176,22790-5YK -0000,NULL,200,91308-PH9-0000,Offsite Components,2.000000,NULL
494,176,22790-5YK -0000,NULL,202,95701-06012-08,Offsite Components,2.000000,NULL
495,177,22790-5MX -A010,NULL,271,22790-5YL,Offsite Components,1.000000,NULL
496,177,22790-5MX -A010,NULL,202,95701-06012-08,Offsite Components,2.000000,NULL
497,177,22790-5MX -A010,NULL,201,22792-5MX-A000,Offsite Components,1.000000,NULL
498,177,22790-5MX -A010,NULL,200,91308-PH9-0000,Offsite Components,2.000000,NULL
499,178,1120A-6C2 -A000,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
500,178,1120A-6C2 -A000,NULL,191,91301-RNA-A020-M2,5PA Components,2.000000,NULL
501,178,1120A-6C2 -A000,NULL,275,11200-6C1-A000,6C2/6MA Components,1.000000,NULL
507,178,1120A-6C2 -A000,NULL,273,1120A-6C2 -A000,6C2/6MA Finished Goods,1.000000,NULL
502,179,1120A-6L2 -A010,NULL,276,11200-5WJ-A000,6C2/6MA Components,1.000000,NULL
503,179,1120A-6L2 -A010,NULL,277,11221-5R0-0000,6C2/6MA Components,1.000000,NULL
504,179,1120A-6L2 -A010,NULL,278,11203-PWA-0031,6C2/6MA Components,1.000000,NULL
505,179,1120A-6L2 -A010,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
506,179,1120A-6L2 -A010,NULL,202,95701-06012-08,Offsite Components,6.000000,NULL
508,179,1120A-6L2 -A010,NULL,274,1120A-6L2 -A010,6C2/6MA Finished Goods,1.000000,NULL
509,180,11300-R70 -A000,NULL,280,11300-R70,Offsite Components,1.000000,NULL
510,181,11300-P8A-A00,NULL,283,11300-P8A RAW,Offsite Components,1.000000,NULL
511,182,11300-RCA-A00,NULL,284,11300-RCA RAW,Offsite Components,1.000000,NULL
512,183,12231-59B -0001,NULL,285,12231-59B -0001,59B Finished Goods,1.000000,NULL
513,183,12231-59B -0001,NULL,172,12231-59B-0000,59B Components,1.000000,NULL
514,183,12231-59B -0001,NULL,92,90701-5A2-A000,5A2 Components,2.000000,NULL
515,184,12232-59B -0001,NULL,286,12232-59B -0001,59B Finished Goods,1.000000,NULL
516,184,12232-59B -0001,NULL,173,12232-59B-0000,59B Components,1.000000,NULL
517,184,12232-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
518,185,12233-59B -0001,NULL,287,12233-59B -0001,59B Finished Goods,1.000000,NULL
519,185,12233-59B -0001,NULL,176,12233-59B-0000,59B Components,1.000000,NULL
520,185,12233-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
521,186,12234-59B -0001,NULL,288,12234-59B -0001,59B Finished Goods,1.000000,NULL
522,186,12234-59B -0001,NULL,174,12234-59B-0000,59B Components,1.000000,NULL
523,186,12234-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
524,187,12235-59B -0001,NULL,289,12235-59B -0001,59B Finished Goods,1.000000,NULL
525,187,12235-59B -0001,NULL,175,12235-59B-0000,59B Components,1.000000,NULL
526,187,12235-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
527,188,12241-59B -0001,NULL,290,12241-59B -0001,59B Finished Goods,1.000000,NULL
528,188,12241-59B -0001,NULL,167,12241-59B-0000,59B Components,1.000000,NULL
529,188,12241-59B -0001,NULL,92,90701-5A2-A000,5A2 Components,2.000000,NULL
530,189,12242-59B -0001,NULL,291,12242-59B -0001,59B Finished Goods,1.000000,NULL
531,189,12242-59B -0001,NULL,168,12242-59B-0000,59B Components,1.000000,NULL
532,189,12242-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
533,190,12243-59B -0001,NULL,292,12243-59B -0001,59B Finished Goods,1.000000,NULL
534,190,12243-59B -0001,NULL,169,12243-59B-0000,59B Components,1.000000,NULL
535,190,12243-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
536,191,12244-59B -0001,NULL,293,12244-59B -0001,59B Finished Goods,1.000000,NULL
537,191,12244-59B -0001,NULL,170,12244-59B-0000,59B Components,1.000000,NULL
538,191,12244-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
539,192,12245-59B -0001,NULL,294,12245-59B -0001,59B Finished Goods,1.000000,NULL
540,192,12245-59B -0001,NULL,171,12245-59B-0000,59B Components,1.000000,NULL
541,192,12245-59B -0001,NULL,196,90701-5R0-3000,59B Components,2.000000,NULL
542,193,38930-RPY,NULL,296,38930-RPY,RPY Components,1.000000,NULL
543,194,38930-RPY -E000 (DO NOT USE),NULL,296,38930-RPY,RPY Components,1.000000,NULL
544,194,38930-RPY -E000 (DO NOT USE),NULL,297,38930-RPY -E000 (DO NOT USE),RPY Finished Goods,1.000000,NULL
546,195,38930-RPYX,NULL,225,38930-RPYX,Offsite Components,1.000000,NULL
547,196,11300-6S9 -A010,NULL,299,11300-6S9A,Offsite Components,1.000000,NULL
548,197,1120A-64A -A000,NULL,304,1120A-64A -A000,64A Finished Goods,1.000000,NULL
549,197,1120A-64A -A000,NULL,301,11221-64AA-A010,64A Components,1.000000,NULL
550,197,1120A-64A -A000,NULL,302,11222-64AA-A001,64A Components,1.000000,NULL
552,197,1120A-64A -A000,NULL,154,19517-PD6-3000,5K8 Components,1.000000,NULL
553,197,1120A-64A -A000,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
554,197,1120A-64A -A000,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
556,197,1120A-64A -A000,NULL,151,94109-14000,5K8 Components,1.000000,NULL
557,197,1120A-64A -A000,NULL,153,94301-12160,5K8 Components,1.000000,NULL
558,197,1120A-64A -A000,NULL,303,95701-06020-08,64A Components,5.000000,NULL
559,198,19321-64S -A000,NULL,306,19321-64S -A030,Offsite Components,1.000000,NULL
560,199,11200-64AA,NULL,300,11200-64AA,64A Components,1.000000,NULL
561,200,12231-6MA-0000,NULL,308,12231-6MA-0000,6MA Components,1.000000,NULL
562,201,12232-6MA-0000,NULL,309,12232-6MA-0000,6MA Components,1.000000
563,202,12233-6MA-0000,NULL,310,12233-6MA-0000,6MA Components,1.000000
564,203,12234-6MA-0000,NULL,311,12234-6MA-0000,6MA Components,1.000000
565,204,12235-6MA-0000,NULL,312,12235-6MA-0000,6MA Components,1.000000
566,205,12241-6MA-0000,NULL,313,12241-6MA-0000,6MA Components,1.000000,NULL
567,206,12242-6MA-0000,NULL,314,12242-6MA-0000,6MA Components,1.000000
568,207,12243-6MA-0000,NULL,315,12243-6MA-0000,6MA Components,1.000000
569,208,12244-6MA-0000,NULL,316,12244-6MA-0000,6MA Components,1.000000
570,209,12245-6MA-0000,NULL,317,12245-6MA-0000,6MA Components,1.000000
571,210,12231-6MA -J000,NULL,318,12231-6MA -J000,6MA Finished Goods,1.000000,NULL
572,210,12231-6MA -J000,NULL,308,12231-6MA-0000,6MA Components,1.000000,NULL
573,210,12231-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000,NULL
574,210,12231-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000,NULL
575,211,12232-6MA -J000,NULL,319,12232-6MA -J000,6MA Finished Goods,1.000000
576,211,12232-6MA -J000,NULL,309,12232-6MA-0000,6MA Components,1.000000
577,211,12232-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
578,211,12232-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
579,212,12233-6MA -J000,NULL,320,12233-6MA -J000,6MA Finished Goods,1.000000
580,212,12233-6MA -J000,NULL,310,12233-6MA-0000,6MA Components,1.000000
581,212,12233-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
582,212,12233-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
583,213,12234-6MA -J000,NULL,321,12234-6MA -J000,6MA Finished Goods,1.000000
584,213,12234-6MA -J000,NULL,311,12234-6MA-0000,6MA Components,1.000000
585,213,12234-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
586,213,12234-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
587,214,12235-6MA -J000,NULL,322,12235-6MA -J000,6MA Finished Goods,1.000000
588,214,12235-6MA -J000,NULL,312,12235-6MA-0000,6MA Components,1.000000
589,214,12235-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
590,214,12235-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
591,215,12241-6MA -J000,NULL,323,12241-6MA -J000,6MA Finished Goods,1.000000
592,215,12241-6MA -J000,NULL,313,12241-6MA-0000,6MA Components,1.000000
593,215,12241-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
594,215,12241-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
595,216,12242-6MA -J000,NULL,324,12242-6MA -J000,6MA Finished Goods,1.000000
596,216,12242-6MA -J000,NULL,314,12242-6MA-0000,6MA Components,1.000000
597,216,12242-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
598,216,12242-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
599,217,12243-6MA -J000,NULL,325,12243-6MA -J000,6MA Finished Goods,1.000000
600,217,12243-6MA -J000,NULL,315,12243-6MA-0000,6MA Components,1.000000
601,217,12243-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
602,217,12243-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
603,218,12244-6MA -J000,NULL,326,12244-6MA -J000,6MA Finished Goods,1.000000
604,218,12244-6MA -J000,NULL,316,12244-6MA-0000,6MA Components,1.000000
605,218,12244-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
606,218,12244-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
607,219,12245-6MA -J000,NULL,327,12245-6MA -J000,6MA Finished Goods,1.000000
608,219,12245-6MA -J000,NULL,317,12245-6MA-0000,6MA Components,1.000000
609,219,12245-6MA -J000,NULL,307,90701-5A2A-A00,6MA Components,1.000000
610,219,12245-6MA -J000,NULL,196,90701-5R0-3000,59B Components,1.000000
612,220,1932A-69F -A000 ,NULL,332,19311-6MAA-J011,Offsite Components,1.000000,NULL
613,220,1932A-69F -A000 ,NULL,331,19320-6MAA-J020,Offsite Components,1.000000,NULL
614,220,1932A-69F -A000 ,NULL,330,19300-6CA-A010-M2,Offsite Components,1.000000,NULL
615,220,1932A-69F -A000 ,NULL,329,19305-5K0-A000,Offsite Components,1.000000,NULL
616,220,1932A-69F -A000 ,NULL,303,95701-06020-08,64A Components,2.000000,NULL
617,221,19321-66V -A000,NULL,335,19321-66VA-A000,Offsite Components,1.000000,NULL
618,222,11200-5J6 -A100,NULL,336,11200-5J6 -A100,5J6 Components,1.000000
628,226,12235-6FBA-A000,NULL,342,12235-6FBA-A000,6FB Components,1.000000,NULL
629,227,12431-6FBA-A000,NULL,343,12431-6FBA-A000,6FB Components,1.000000,NULL
637,229,12235-6FB -A000,NULL,143,94301-08100,59B Components,2.000000,NULL
641,229,12235-6FB -A000,NULL,342,12235-6FBA-A000,6FB Components,1.000000
718,229,12235-6FB -A000,NULL,344,12235-6FB -A000,6FB Finished Goods,1.000000,NULL
639,232,12431-6FB -A000,NULL,143,94301-08100,59B Components,2.000000,NULL
640,232,12431-6FB -A000,NULL,343,12431-6FBA-A000,6FB Components,1.000000,NULL
717,232,12431-6FB -A000,NULL,349,12431-6FB -A000,6FB Finished Goods,1.000000,NULL
668,236,1223A-6MA -J000,NULL,308,12231-6MA-0000,6MA Components,1.000000,NULL
669,236,1223A-6MA -J000,NULL,309,12232-6MA-0000,6MA Components,1.000000,NULL
671,236,1223A-6MA -J000,NULL,310,12233-6MA-0000,6MA Components,1.000000,NULL
672,236,1223A-6MA -J000,NULL,311,12234-6MA-0000,6MA Components,1.000000,NULL
673,236,1223A-6MA -J000,NULL,312,12235-6MA-0000,6MA Components,1.000000,NULL
674,236,1223A-6MA -J000,NULL,355,1223A-6MA -J000,6MA Finished Goods,1.000000,NULL
675,236,1223A-6MA -J000,NULL,313,12241-6MA-0000,6MA Components,1.000000,NULL
676,236,1223A-6MA -J000,NULL,314,12242-6MA-0000,6MA Components,1.000000,NULL
677,236,1223A-6MA -J000,NULL,315,12243-6MA-0000,6MA Components,1.000000,NULL
679,236,1223A-6MA -J000,NULL,316,12244-6MA-0000,6MA Components,1.000000,NULL
680,236,1223A-6MA -J000,NULL,317,12245-6MA-0000,6MA Components,1.000000,NULL
683,239,11200-6FB -A000,NULL,358,11200-6FB -A000,6FB Finished Goods,1.000000
685,239,11200-6FB -A000,NULL,151,94109-14000,5K8 Components,1.000000,NULL
686,239,11200-6FB -A000,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
684,240,11200-6FBA,NULL,359,11200-6FBA,6FB Components,1.000000
687,241,12270-6MA -J000,NULL,363,12270-6MA-J000,Offsite Components,1.000000,NULL
688,242,12270-6NA -0001,NULL,364,12270-6NA,59B Components,1.000000,NULL
689,242,12270-6NA -0001,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
690,242,12270-6NA -0001,NULL,143,94301-08100,59B Components,2.000000,NULL
711,242,12270-6NA -0001,NULL,394,12270-6NA -A000,Offsite Finished Goods,1.000000
769,242,12270-6NA -0001,NULL,372,12270-6NAA,5PA Components,1.000000,NULL
691,243,12270-6NA,NULL,372,12270-6NAA,5PA Components,1.000000
789,243,12270-6NA,NULL,414,12270-6NA -0100,59B Finished Goods,1.000000,NULL
700,249,1120A-69F -A000,NULL,371,1120A-69F -A000,6C2/6MA Finished Goods,1.000000,NULL
701,249,1120A-69F -A000,NULL,192,15123-PCX-0030-H1,5PA Components,1.000000,NULL
702,249,1120A-69F -A000,NULL,374,900009-R70-A000,6C2/6MA Components,1.000000
703,249,1120A-69F -A000,NULL,151,94109-14000,5K8 Components,1.000000,NULL
704,249,1120A-69F -A000,NULL,143,94301-08100,59B Components,1.000000,NULL
713,249,1120A-69F -A000,NULL,370,11200-6MAA-J010,6C2/6MA Components,1.000000,NULL
714,249,1120A-69F -A000,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
715,249,1120A-69F -A000,NULL,375,91302-RZP-0000,6C2/6MA Components,1.000000,NULL
706,250,12270-6NAA,NULL,372,12270-6NAA,5PA Components,1.000000,NULL
707,251,12270-6NA -A000 DNU,NULL,372,12270-6NAA,5PA Components,1.000000,NULL
708,251,12270-6NA -A000 DNU,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
710,251,12270-6NA -A000 DNU,NULL,143,94301-08100,59B Components,2.000000,NULL
719,251,12270-6NA -A000 DNU,NULL,373,12270-6NA -A000 DNU,5PA Finished Goods,1.000000,NULL
716,252,11200-6MAA-J010,NULL,370,11200-6MAA-J010,6C2/6MA Components,1.000000,NULL
727,262,12270-6VJ -A000 DNU,NULL,387,12270-6VJ -A000 DNU,5PA Finished Goods,1.000000
736,262,12270-6VJ -A000 DNU,NULL,390,12270-6VJA,5PA Components,1.000000,NULL
737,262,12270-6VJ -A000 DNU,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
738,262,12270-6VJ -A000 DNU,NULL,143,94301-08100,59B Components,2.000000,NULL
735,266,12270-6VJA,NULL,390,12270-6VJA,5PA Components,1.000000
739,267,17145-6MD,NULL,391,17145-6MD,6MD Components,1.000000
742,269,12270-6VJ -A000,NULL,395,12270-6VJ Raw,Offsite Components,6.000000
743,269,12270-6VJ -A000,NULL,143,94301-08100,59B Components,1.000000,NULL
744,269,12270-6VJ -A000,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
745,270,12270-6NA -A000,NULL,143,94301-08100,59B Components,1.000000,NULL
746,270,12270-6NA -A000,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
782,270,12270-6NA -A000,NULL,372,12270-6NAA,5PA Components,6.000000
757,274,1223A-59B -A000,NULL,400,59B IN 1,Offsite Components,1.000000,NULL
758,274,1223A-59B -A000,NULL,401,59B IN 2,Offsite Components,1.000000,NULL
759,274,1223A-59B -A000,NULL,403,59B IN 3,Offsite Components,1.000000,NULL
760,274,1223A-59B -A000,NULL,404,59B IN 4,Offsite Components,1.000000,NULL
762,274,1223A-59B -A000,NULL,405,59B IN 5,Offsite Components,1.000000,NULL
763,274,1223A-59B -A000,NULL,406,59B EX 1,Offsite Components,1.000000,NULL
764,274,1223A-59B -A000,NULL,407,59B EX 2,Offsite Components,1.000000,NULL
765,274,1223A-59B -A000,NULL,408,59B EX 3,Offsite Components,1.000000,NULL
766,274,1223A-59B -A000,NULL,409,59B EX 4,Offsite Components,1.000000,NULL
767,274,1223A-59B -A000,NULL,402,59B EX 5,Offsite Components,1.000000,NULL
779,282,12270-6NA -0100,NULL,372,12270-6NAA,5PA Components,1.000000,NULL
780,282,12270-6NA -0100,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
781,282,12270-6NA -0100,NULL,143,94301-08100,59B Components,2.000000,NULL
790,282,12270-6NA -0100,NULL,414,12270-6NA -0100,59B Finished Goods,1.000000,NULL
791,285,12270-5PA -A000,NULL,417,12270-5PA RAW,Offsite Components,6.000000
792,285,12270-5PA -A000,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
793,285,12270-5PA -A000,NULL,143,94301-08100,59B Components,2.000000,NULL
803,286,12270-66VT-A000,NULL,433,12270-66V Raw,Offsite Components,1.000000
819,286,12270-66VT-A000,NULL,97,94301-10120,5A2 Components,2.000000,NULL
799,287,12270-RPY -G000,NULL,97,94301-10120,5A2 Components,2.000000,NULL
800,287,12270-RPY -G000,NULL,421,12270-RPY -G000,Offsite Finished Goods,1.000000,NULL
795,288,12270-6B2 -A000,NULL,244,92900-06050-0B,6B2 Components,1.000000,NULL
796,288,12270-6B2 -A000,NULL,97,94301-10120,5A2 Components,2.000000,NULL
797,288,12270-6B2 -A000,NULL,419,12270-6B2 -A000,Offsite Finished Goods,1.000000,NULL
798,288,12270-6B2 -A000,NULL,98,92900-06012-0B,5A2 Components,1.000000,NULL
801,295,6620-0079-20201,NULL,425,6620-0079 -2020,Offsite Finished Goods,1.000000,NULL
802,296,12270-66V -A001 ,NULL,432,12270-66V,66V Components,1.000000,NULL
804,298,12270-66V Raw,NULL,432,12270-66V,66V Components,10.000000
805,299,12270-66VA,NULL,434,12270-66VA,6B2 Components,10.000000,NULL
809,303,6620-0079-2020,NULL,440,0079-2020,Astemo Components,1.000000,NULL
808,304,0079-2020,NULL,440,0079-2020,Astemo Components,1.000000,NULL
811,305,6620-0078-9040  ,NULL,442,0078-9040 ,Astemo Components,1.000000,NULL
810,306,0078-9040 ,NULL,442,0078-9040 ,Astemo Components,1.000000
812,307,0079-0060,NULL,443,0079-0060,Astemo Components,1.000000,NULL
813,308,6620-0079-0060,NULL,443,0079-0060,Astemo Components,1.000000,NULL
814,309,0080-5010,NULL,445,0080-5010,Astemo Components,1.000000,NULL
815,310,6620-0080-5010,NULL,445,0080-5010,Astemo Components,1.000000
817,311,0080-6010,NULL,448,6620-0080-6010,Astemo Finished Goods,1.000000,NULL
816,312,6620-0080-6010,NULL,447,0080-6010,Astemo Components,1.000000
818,313,19321-66V -A100,NULL,449,19321-66V -A100,Offsite Finished Goods,1.000000,NULL
