Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
87,12241-5A2,Cam Shaft Holder EX #1-2,5A2 Components,0,0,NULL,NULL,NULL,NULL
88,12243-5A2,Cam Shaft Holder EX #3,5A2 Components,0,0,NULL,NULL,NULL,NULL
89,12244-5A2,Cam Shaft Holder EX #4,5A2 Components,0,0,NULL,NULL,NULL,NULL
90,12245-5A2,Cam Shaft Holder EX #5,5A2 Components,0,0,NULL,NULL,NULL,NULL
91,12246-5A2,Cam Shaft Holder EX #6,5A2 Components,0,0,NULL,NULL,NULL,NULL
77,12261-5A2,Rocker Shaft Holder # 1,5A2 Components,0,0,NULL,NULL,NULL,NULL
78,12262-5A2,Rocker Shaft Holder # 2,5A2 Components,0,0,NULL,NULL,NULL,NULL
79,12263-5A2,Rocker Shaft Holder # 3,5A2 Components,0,0,NULL,NULL,NULL,NULL
80,12264-5A2,Rocker Shaft Holder #4,5A2 Components,0,0,NULL,NULL,NULL,NULL
81,12265-5A2,Rocker Shaft Holder DI #5,5A2 Components,0,0,NULL,NULL,NULL,NULL
95,12265-5B0,Rocker Shaft Holder PI #5,5A2 Components,0,1,NULL,NULL,NULL,NULL
104,12270-5A2,Fuel Pump,5A2 Components,0,0,NULL,NULL,NULL,NULL
92,90701-5A2-A000,9x14 Dowel Pin,5A2 Components,0,1,NULL,NULL,NULL,NULL
93,90702-5A2-A000,9x17 Dowel Pin,5A2 Components,0,1,NULL,NULL,NULL,NULL
98,92900-06012-0B,6x12 Stud Bolt,5A2 Components,0,1,NULL,NULL,NULL,NULL
97,94301-10120,10x12 Dowel Pin,5A2 Components,0,1,NULL,NULL,NULL,NULL
94,96211-08000,Steel Ball,5A2 Components,0,1,NULL,NULL,NULL,NULL
158,12270-5BA,"SIDE COVER, COMP",5BA Components,0,1,1.000,Pound,17,NULL
182,19321-5BA,5BA Thermocase Casting,5BA Components,0,1,NULL,NULL,NULL,NULL
56,12231-5G0,Rocker Shaft Holder # 1,5G0 Components,0,0,NULL,NULL,NULL,NULL
57,12232-5G0,Rocker Shaft Holder # 2,5G0 Components,0,0,NULL,NULL,NULL,NULL
58,12233-5G0,Rocker Shaft Holder # 3,5G0 Components,0,0,NULL,NULL,NULL,NULL
62,146315G0 A000   ,Front IN Shaft,5G0 Components,0,1,NULL,NULL,NULL,NULL
63,146325G0 A000   ,Front EX Shaft,5G0 Components,0,1,NULL,NULL,NULL,NULL
73,146335G0 A000  ,Rear IN Shaft,5G0 Components,0,1,NULL,NULL,NULL,NULL
74,146345G0 A000  ,Rear EX Shaft,5G0 Components,0,1,NULL,NULL,NULL,NULL
68,14646R70 A000  ,Thrust Washer,5G0 Components,0,1,NULL,NULL,NULL,NULL
195,44512-SZA,SZA base raw,5G0 Components,0,1,1.000,Pound,NULL,NULL
66,90004PE2 0050  ,Sealing Bolt,5G0 Components,0,1,NULL,NULL,NULL,NULL
65,90701-5G0 -A000,10X10 Dowel Pin,5G0 Components,0,1,NULL,NULL,NULL,NULL
60,P146125G0 A000,EX A Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
61,P146145G0 A000,EX B Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
70,P146205G0 A000,IN Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
71,P146245G0 A000,EX A Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
72,P146275G0 A000,EX B Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
59,P146405G0 A000,IN Rocker Arm Assembly,5G0 Components,0,1,NULL,NULL,NULL,NULL
67,P146455G0 A000,Ex Rocker Arm Spring,5G0 Components,0,1,NULL,NULL,NULL,NULL
64,P90002-5G0-A000,Flange Bolt,5G0 Components,0,1,NULL,NULL,NULL,NULL
336,11200-5J6 -A100,5J6-1 OIL PAN RAW,5J6 Components,0,0,1.000,Pound,NULL,US
149,11200-5K8,"PAN, OIL",5K8 Components,0,1,9.430,Pound,NULL
