Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	10	Initialize Local Variables	SCRIPT	NULL	NULL	NULL	207	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	15	Read Container Count	READ	TOP Server		5G0_A1.5G0_A1.ContainerCount	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	16	Validate Part Count	SCRIPT	NULL	NULL	NULL	208	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	100	Get Net Weight Value	READ	OmniServer		5G0_Front_Scale.NET_NetWeightValue	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	110	Get Net Weight UOM	READ	OmniServer		5G0_Front_Scale.NET_NetWeightUOM	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	120	Get Target Weight Met Flag	READ	OmniServer		5G0_Front_Scale.NET_TargetWeightMetFlag	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	130	Clear Net Weight Data Ready	WRITE	OmniServer		5G0_Front_Scale.NET_DataReady	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	140	Clear Net Weight Value	WRITE	OmniServer		5G0_Front_Scale.NET_NetWeightValue	NULL	0
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	142	Clear Net Weight UOM	WRITE	OmniServer		5G0_Front_Scale.NET_NetWeightUOM	NULL	0
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	144	Clear Target Weight Met Flag	WRITE	OmniServer		5G0_Front_Scale.NET_TargetWeightMetFlag	NULL	0
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	300	[BEGIN] Complete Container	SCRIPT	NULL	NULL	NULL	209	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	320	Complete Container	SCRIPT	NULL	NULL	NULL	210	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	325	Set Part Valid	WRITE	TOP Server		5G0_A1.5G0_A1.PartValid	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	330	Write Container Quantity	WRITE	TOP Server		5G0_A1.5G0_A1.ContainerCount	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	335	Write Part Type	WRITE	TOP Server		5G0_A1.5G0_A1.PartType	NULL	1
5G0 - Line 1	Assembly 1	300 - Net Weight Update	66	EQ	1		OmniServer		5G0_Front_Scale.NET_DataReady	0	399	[END] Complete Container	SCRIPT	NULL	NULL	NULL	211	1
