ServerName	BasePath	Member	Directions	AccessPath	SampleOpcItemId
TOP Server	6C2_6MA_OilPanAssy.MicroLogix1400	PartNumber	W	6C2_6MA_OilPanAssy.MicroLogix1400	PartNumber
TOP Server	6C2_6MA_OilPanAssy.MicroLogix1400	TrayLocked	T	6C2_6MA_OilPanAssy.MicroLogix1400	TrayLocked
TOP Server	6C2_6MA_OilPanAssy.MicroLogix1400	VisionPartNumber	R	6C2_6MA_OilPanAssy.MicroLogix1400	VisionPartNumber
TOP Server	6FB_CH.MicroLogix1400	InspectionComplete	T	6FB_CH.MicroLogix1400	InspectionComplete
TOP Server	6FB_CH.Micrologix1400	OkToContinue	W	6FB_CH.Micrologix1400	OkToContinue
TOP Server	6FB_CH.MicroLogix1400	PartNumber	R	6FB_CH.MicroLogix1400	PartNumber
TOP Server	6FB_CH.MicroLogix1400	TrayLocked	T	6FB_CH.MicroLogix1400	TrayLocked
TOP Server	6MA_CH.MicroLogix1400	ContainerName	W	6MA_CH.MicroLogix1400	ContainerName
TOP Server	6MA_CH.MicroLogix1400	InspectionComplete	T	6MA_CH.MicroLogix1400	InspectionComplete
TOP Server	6MA_CH.MicroLogix1400	OkToContinue	W	6MA_CH.MicroLogix1400	OkToContinue
TOP Server	6MA_CH.MicroLogix1400	PartNumber	W	6MA_CH.MicroLogix1400	PartNumber
TOP Server	6MA_CH.MicroLogix1400	TrayLocked	T	6MA_CH.MicroLogix1400	TrayLocked
TOP Server	RPY_CH.MicroLogix1400	InspectionComplete	T	RPY_CH.MicroLogix1400	InspectionComplete
TOP Server	RPY_CH.MicroLogix1400	OkToContinue	W	RPY_CH.MicroLogix1400	OkToContinue
TOP Server	RPY_CH.MicroLogix1400	PartDisposition01	R	RPY_CH.MicroLogix1400	PartDisposition01
TOP Server	RPY_CH.MicroLogix1400	PartNumber	RW	RPY_CH.MicroLogix1400	PartNumber
TOP Server	RPY_CH.MicroLogix1400	TrayLocked	T	RPY_CH.MicroLogix1400	TrayLocked
TOP Server	Sort_OilPan.MicroLogix1400	InspectionComplete	T	Sort_OilPan.MicroLogix1400	InspectionComplete
TOP Server	Sort_OilPan.MicroLogix1400	PartNumber	W	Sort_OilPan.MicroLogix1400	PartNumber
TOP Server	Sort_OilPan.MicroLogix1400	TrayLocked	T	Sort_OilPan.MicroLogix1400	TrayLocked
TOP Server	Sort_Totes.MicroLogix1400	InspectionComplete	T	Sort_Totes.MicroLogix1400	InspectionComplete
TOP Server	Sort_Totes.MicroLogix1400	PartNumber	W	Sort_Totes.MicroLogix1400	PartNumber
TOP Server	Sort_Totes.MicroLogix1400	TrayLocked	T	Sort_Totes.MicroLogix1400	TrayLocked
